category,metric,value
standard,map@5,0.18100520833333336
standard,precision@5,0.21375
standard,recall@5,0.03291600047887427
standard,map@10,0.16811828290343916
standard,precision@10,0.20958333333333332
standard,recall@10,0.0646887325815426
standard,map@20,0.0910838262132807
standard,precision@20,0.10479166666666666
standard,recall@20,0.0646887325815426
standard,mrr,0.2874966931216931
weighted,weighted_map@5,0.327331604111552
weighted,ndcg@5,0.49634385895045074
weighted,weighted_map@10,0.3169174017268748
weighted,ndcg@10,0.5033184005658968
weighted,weighted_map@20,0.16366169821026536
weighted,ndcg@20,0.33588533421591577
